200
0	0	0
1	145	32
2	378	14
3	527	18
4	619	12
5	987	26
6	1097	28
7	1209	37
8	98	83
9	188	88
10	454	82
11	523	95
12	580	85
13	687	79
14	794	59
15	904	51
16	1009	89
17	1203	128
18	44	126
19	128	137
20	239	112
21	348	156
22	526	174
23	614	130
24	752	132
25	810	149
26	898	84
27	915	137
28	955	117
29	1101	151
30	1240	145
31	78	167
32	199	197
33	298	182
34	459	199
35	555	225
36	593	232
37	657	176
38	783	184
39	839	172
40	936	212
41	978	197
42	1207	203
43	20	216
44	146	241
45	232	259
46	313	234
47	377	219
48	479	264
49	624	269
50	686	227
51	812	236
52	875	219
53	948	263
54	995	248
55	1104	248
56	1246	263
57	59	265
58	181	279
59	206	309
60	254	302
61	336	314
62	380	299
63	487	355
64	553	343
65	621	329
66	664	319
67	735	309
68	823	290
69	904	284
70	1003	303
71	1090	303
72	1180	312
73	57	314
74	100	367
75	160	350
76	238	346
77	291	386
78	353	379
79	399	369
80	507	391
81	596	407
82	629	384
83	719	373
84	777	345
85	828	328
86	917	362
87	1009	385
88	1049	396
89	1083	367
90	1146	367
91	1234	369
92	23	409
93	28	447
94	106	430
95	143	424
96	329	453
97	370	439
98	424	421
99	475	429
100	565	456
101	658	420
102	770	375
103	842	368
104	918	406
105	1119	424
106	1197	439
107	1252	440
108	1097	513
109	391	517
110	452	458
111	490	506
112	513	489
113	603	489
114	668	469
115	766	439
116	918	496
117	1020	536
118	918	557
119	1224	581
120	19	612
121	61	613
122	124	610
123	281	606
124	376	588
125	540	533
126	715	505
127	830	533
128	978	714
129	1010	569
130	518	593
131	563	561
132	665	556
133	780	610
134	865	583
135	1050	602
136	1195	662
137	228	662
138	405	626
139	509	631
140	663	620
141	812	630
142	916	650
143	1011	640
144	29	723
145	75	720
146	137	716
147	183	704
148	246	696
149	300	689
150	365	669
151	394	700
152	437	667
153	462	705
154	569	678
155	607	724
156	682	725
157	743	730
158	846	689
159	850	830
160	1053	728
161	1135	719
162	1249	717
163	129	751
164	193	753
165	316	773
166	443	743
167	542	765
168	579	789
169	683	776
170	734	784
171	1110	924
172	944	778
173	1073	818
174	1182	787
175	1241	829
176	11	814
177	64	800
178	157	793
179	268	809
180	337	822
181	408	805
182	445	814
183	514	783
184	630	831
185	712	883
186	793	867
187	912	839
188	1026	841
189	64	890
190	122	922
191	196	864
192	212	943
193	388	871
194	408	899
195	462	897
196	540	852
197	552	904
198	842	948
199	1038	943
